name,nickname,lat,lon
Eagle Sculpture,,52.145366,-106.599127
Earl's Parrot,,52.136732,-106.659794
Ellis Hall,,52.130693,-106.642757
Emanuel St. Chad Chapel,,52.129649,-106.638643
Energy Doctor Palm Tree,,52.159699,-106.672978
Evergreen Village Square,,52.164974,-106.570478
Exhibition Park SE,,52.100662,-106.677478
Fairbanks-Morse Warehouse,,52.13166,-106.669519
Faith Alive Family Church,,52.1208,-106.655314
Faith Baptist Church,,52.110093,-106.640821
Faith River Christian Fellowship,,52.097043,-106.622426
Farley Mowat ,,52.123857,-106.66168
Fire hose Cart,,52.127843,-106.670501
First Baptist Church,,52.13316,-106.65861
First Mennonite Church,,52.13668,-106.6556
Fishy Joes,,52.113838,-106.623097
Flat Birds,,52.122417,-106.668064
Flynn's Forest Indoor Playground,,52.129138,-106.586659
Flower In Bloom,,52.146862,-106.620834
Flower Power,,52.128706,-106.646761
Flowers On Victoria,,52.11888,-106.662527
Galleria Memorial West Wing,,52.141217,-106.627631
George Ward Outdoor Pool,,52.111065,-106.627326
Glacier Park,,52.125841,-106.601675
Global Gathering Place,,52.127881,-106.65844
Globe BMX Park,,52.106513,-106.584891
Gold Medal Goalie,,52.142665,-106.656323
Good Shepard Church,,52.111856,-106.586784
Gordon Oakes Red Bear Student Centre,,52.131527,-106.637588
Granite Curling Club,,52.135419,-106.661972
Grazing Deer Mural,,52.128046,-106.674106
Griffiths Foot Bridge,,52.129115,-106.630966
Great Western Brewery,,52.136351,-106.660685
Greek Orthodox Church,,52.114786,-106.654211
Greystone Park North ,,52.121705,-106.614298
Greystone Park South Entrance,,52.11901,-106.614207
Grosvenor Park ,,52.11701,-106.63363
Grosvenor Park North ,,52.118704,-106.633277
Grosvenor Park South,,52.11691,-106.632057
Grosvenor Post Office,,52.115181,-106.625467
Group Captain Sir Douglas Bader,,52.108893,-106.72237
Half A Mini Cooper,,52.132974,-106.59493
Hampton Village Fountain,,52.153075,-106.718009
Harold Tatler North (West),Harold Tatler North,52.09943,-106.629768
Harold Tatler North (East),Harold Tatler North,52.098011,-106.624429
Harold Tatler Park North,,52.100088,-106.62648
Harold Tatler South Park,,52.096436,-106.63084
Headphones Girl,,52.143986,-106.668804
Hippy Box,,52.117689,-106.656926
Holliston Park,,52.111442,-106.626294
Holliston Park Splash Pad,,52.110468,-106.628341
Holy Resurrection Orthodox Church,,52.103519,-106.670701
Holy Spirit Church ,,52.103896,-106.598776
Holy Trinity Bell,,52.130447,-106.678894
Homemakers Clubs of Saskatchewan,,52.130157,-106.634982
Homestead Ice Cream,,52.117018,-106.662498
Hon. James T. M. Anderson Plaque,,52.12582,-106.634363
Horticulture,,52.130421,-106.631161
Hudson's Totem,,52.12629,-106.660894
Huge Skate Wheel,,52.131825,-106.629921
Hyde Park North,,52.098746,-106.563109
Idylwyld Park Playground,,52.11681,-106.672733
Indigenous Art,,52.130824,-106.662516
Infrastructure No.5 (Anguished Athenaeum),,52.132316,-106.675462
Innovation Place Map,,52.142999,-106.623512
International Vaccine Center,,52.137524,-106.626469
Isinger Park East,,52.123624,-106.672164
James Anderson Park South,,52.094284,-106.617217
James Wood Library,,52.108093,-106.651037
Jastek Swirly 3,,52.138447,-106.592715
Jazz Man,,52.127561,-106.666129
Jean Warkentin Memorial,,52.112501,-106.662569
Jeffrey Park,,52.104536,-106.629064
Jerry's Burgers & Gelato,,52.173316,-106.647815
Jim Thomson Memorial Plaque,,52.129931,-106.66425
Kaboom 2004,,52.142101,-106.6472
Kayaks and Bridge Mural,,52.170776,-106.689848
Kinsman Merry-Go-Round.,,52.134097,-106.651067
Kinsmen Park Sign,,52.132386,-106.654576
Kinsmen Play Village,,52.134436,-106.654738
Kistikan Centre,,52.09363,-106.613363
Kistikan Park North,,52.094404,-106.613159
Kistikan Park Playground,,52.093429,-106.615677
Kistikan Park Rink,,52.093379,-106.614725
Kistikan Park West,,52.093424,-106.617311
Kiwanis Memorial Park Sign,,52.130902,-106.651249
Knox United Church,,52.130279,-106.654571
Kopko Park,,52.144784,-106.605716
Labour Council Memorial,,52.130485,-106.660958
Lady Liberty Mural,,52.113849,-106.614686
Lakeview  Horseshoe Pits,,52.096273,-106.59435
Lakeview Pond Main Entrance,,52.098759,-106.593841
Lakewood Park Ball Diamond 2,,52.105149,-106.583368
Lakewood Park Central Sign,,52.105926,-106.582325
Lakewood Park N.,,52.10719,-106.586738
Lakewood Park Playground,,52.105688,-106.584156
Lancaster Bomber,,52.110083,-106.724762
Land Titles Building,,52.126584,-106.662192
Las Palapas,,52.116414,-106.66254
Lathey Outdoor Pool,,52.10745,-106.650523
Lawson Heights Alliance Church,,52.168767,-106.630015
Leaving the CN Station,,52.12448,-106.667974
Legacy Church,,52.169869,-106.633847
Legion Hall War Museum Mortar,,52.101741,-106.606826
Leif Erickson Community Garden,,52.132562,-106.691634
Leif Erickson Housing Project,,52.133216,-106.691024
Leslie Metal Sculpture,,52.123823,-106.662045
Lesya Ukrainka,,52.131442,-106.636906
Lions Arena,,52.103857,-106.616377
Little FREE Library,,52.133757,-106.604115
Little Free Library 1217 14th St,,52.121883,-106.640422
Little Free Library At 6th And Clarence,,52.112781,-106.647302
Little Free Library At 7th And Duchess,,52.142622,-106.651251
Little Red Tractor,,52.131577,-106.654782
Living In Harmony. ,,52.135407,-106.66091
Lock Box of Mystery,,52.130925,-106.657596
Louise Church,,52.110123,-106.631118
Louise Grounds,,52.11889,-106.659725
Love on Air Graffiti,,52.12513,-106.662022
Lulu Wheat,,52.127486,-106.665416
Mac's Downtown Mural,,52.133267,-106.659187
Market Mall Koi Fish Pond Fountain,,52.101175,-106.620167
Market Mall Post Office,,52.101806,-106.620927
Marr Residence,,52.118667,-106.663284
Mayfair Swimming Pool,,52.141244,-106.67857
McEown Park (South),McEown Park,52.122086,-106.632926
McEown Park (West),McEown Park,52.123951,-106.634537
McKercher Kingdom Hall,,52.103656,-106.587994
Meadowlark park,,52.091486,-106.643155
Medallion,,52.130152,-106.632696
Meewasin Trail 1km Marker,,52.141473,-106.638576
Meewasin Valley Trail Commemorative Marker,,52.125414,-106.653202
Memorial at U of S,,52.13059,-106.634473
Metis Cart,,52.125406,-106.688964
Metis Mural,,52.12559,-106.689209
Metropolitan Ilarion Statue,,52.100428,-106.615187
Michael Jordan Mural ,Sports On Tap,52.097317,-106.671786
Midtown Common Fireplace,,52.126415,-106.66854
Midtown Plaza,,52.127448,-106.666561
Millstone,,52.132636,-106.632013
Miner Man,,52.128287,-106.665651
Mitosis Mosaic at Biology Bldg.,,52.131944,-106.634444
Montana's Cookhouse Saloon,,52.11457,-106.634014
Monument,,52.126477,-106.665071
Moosejaw Trail Slide,,52.08767,-106.615942
Morris T Cherneskey Park,,52.12785,-106.74588
Morton Park,,52.117239,-106.619413
Mount Royal 7th Day Adventist Church,,52.137218,-106.677095
Mr Hockey Box ,,52.132709,-106.658041
Musee Ukraina Museum,,52.126811,-106.688636
Musicians,,52.126367,-106.659637
Mutant Playground,,52.120653,-106.647055
Neo Attic,,52.131742,-106.63298
New Beginnings Assembly Church,,52.109367,-106.6467
New Math,,52.14397,-106.675556
Nine Cocks Partying,,52.096281,-106.629433
Nine Times Mural,,52.11406,-106.630532
North Park Pelican Statue,,52.145699,-106.655585
NRC Plaque,,52.130556,-106.630288
Nutana Curling Club,,52.104356,-106.610564
Nutana Kiwanis Park,,52.100383,-106.613962
Nutana Lawn Bowling Club ,,52.113537,-106.664059
Observatory at the U of S,,52.130273,-106.638145
Old CPR Station,,52.13236,-106.67105
Old Fire Hall,,52.128348,-106.662435
OLOL CG Stonework,,52.119274,-106.640737
Open Door Baptist Church,,52.124435,-106.683142
Open Prairie Mural,,52.114893,-106.671035
Optimist Park South,,52.123171,-106.685941
Optimist Park Southeast,,52.123154,-106.6846
Orbital Planes,,52.140702,-106.598832
Orpheus #5,,52.131902,-106.638635
Our Lady of Lourdes Church,,52.119635,-106.639731
Outdoor Gym in the park,,52.12218,-106.672149
Patterson Garden Arboretum,,52.128884,-106.619923
Pelican Slide,,52.1344,-106.654136
Pelicans And The Train Bridge,,52.131228,-106.659099
People Standing Around,,52.125746,-106.757803
Peterson Soil Mechanics Building Plaque,,52.135995,-106.633017
Photography Mural ,,52.142851,-106.657556
Physics Building Motifs,,52.131427,-106.633269
Plinth Park,,52.126216,-106.601492
Pony Ride,,52.113094,-106.600326
Post Office,,52.160446,-106.644616
Prairie Meats Mural,,52.163764,-106.647607
Prairie Panorama,,52.113008,-106.597836
Prairie Sun Graffiti ,,52.157153,-106.662956
President Murray Park,,52.123961,-106.63923
Preston Crossing Post Office,,52.147694,-106.61602
Press'd,,52.171691,-106.665553
Propeller Mural,,52.16961,-106.691359
Qu'appelle Hall,,52.130413,-106.63592
R.C.A.F.A World War II Memorial,,52.164851,-106.673487
Rainbow Community Garden Mural,,52.140712,-106.580242
Rainbow Wall,,52.144434,-106.656903
Rainmaker,,52.130234,-106.660309
Ramon John Hnatyshyn Statue,,52.130108,-106.653531
Raoul Wallenberg Park,,52.117727,-106.641787
Redeemer Lutheran Church,,52.11729,-106.623088
Rendall Park,,52.155741,-106.705224
Rik Sternberg Park,,52.155566,-106.730788
River Landing Arch,,52.123881,-106.666306
River Landing Fire Vessel,,52.122551,-106.667201
Riverside Candycane,,52.132141,-106.644615
Rochdale Park,,52.170689,-106.621082
Rock of Ages ,,52.102917,-106.597813
Rodeo Clown,Sports On Tap,52.096967,-106.671481
Rose Ballerina,,52.125958,-106.669846
Rosewood Playground,,52.090844,-106.565224
Rotary Park (East),Rotary Park,52.120668,-106.659841
Rotary Park (West),Rotary Park,52.120051,-106.66558
Royal Canadian Legion 362,,52.101889,-106.606804
Rugby Chapel,,52.129063,-106.637982
Rumley Distinctive Lofts,,52.132217,-106.667121
Rush Mural,Sports On Tap,52.09738,-106.671109
Rutherford Rink,,52.131314,-106.628431
Saint Anne's Catholic Parish church,,52.172781,-106.631398
Saints Peter and Paul Ukrainian Catholic Church,,52.118044,-106.641333
Sandra Schmirler Mural,Sports On Tap,52.097153,-106.671687
Sask Teachers Federation,,52.10079,-106.610332
Saskatchewan Countryside,,52.13331,-106.661391
Saskatchewan International Raceway,,51.969266,-106.54752
Saskatoon Blades Stairs Mural,,52.18964,-106.679853
Saskatoon Brewery Mural,,52.13706,-106.659116
Saskatoon Bridge Club,,52.102457,-106.606844
Saskatoon Chinese Alliance Church,,52.133795,-106.67045
Saskatoon Community Service Village,,52.132604,-106.655836
Saskatoon Inn Fountain,,52.156074,-106.682356
Saskatoon Islamic Center ,,52.118688,-106.630825
Saskatoon Mural,,52.115351,-106.611596
Saskatoon Municipal Railway Info Kiosk,,52.130181,-106.663333
Saskatoon Sports Hall Of Fame,,52.126983,-106.626871
Saskatoon Public Library - Dr Freda Ahenakew Branch,,52.126779,-106.686191
Saskatoon Star,,52.128898,-106.665424
Saskatoon Sun Skyline Painted Box,,52.133632,-106.663561
SaskTel Centre,,52.189543,-106.679745
Scott Park,,52.133474,-106.691305
Scyap,,52.126295,-106.676893
Seager Wheeler,,52.124112,-106.632703
Sears Park,,52.119795,-106.732056
Sears Park Entrance,,52.121929,-106.724675
Saskatoon Sports Hall Of Fame,,52.126983,-106.626871
SEDCO Centre Plaque,,52.14062,-106.626125
Shark Slide,,52.128651,-106.746949
Shattered Leg Man,,52.118027,-106.659694
Sherbrooke Community Centre,,52.124067,-106.597325
Sherbrooke Community Playground,,52.122147,-106.597441
Sherbrooke Fountain ,,52.122701,-106.597333
Sherbrooke Shannon's Birds Aviary,,52.12329,-106.596775
Shiny Infinity Sculpture,,52.139325,-106.593971
Shiny Pod,,52.197734,-106.644055
Sidney L Buckwold Park,,52.11998,-106.575308
Sidney L. Buckwold Park South,,52.1184,-106.579704
Sidney L. Buckwold Park West,,52.120743,-106.586714
Signsmith Mural,,52.12601,-106.678121
Silver Wave,,52.130451,-106.660586
Sir Wilfrid Laurier and Diefenbaker,,52.127354,-106.666162
Smith Block Plaque,,52.118231,-106.656567
Snelgrove Gallery Sculpture,,52.13129,-106.635742
Snowy Wildlife,,52.126585,-106.672794
Somewhere Else Pub & Grill,,52.0967,-106.655277
Space Needle,,52.125455,-106.665606
SPD Station Commemorative Plaque,,52.129506,-106.659516
Spiral Slide,,52.118441,-106.633245
"St Andrews College, United Church Of Can.",,52.129104,-106.641324
St. Andrews College Chapel,,52.129583,-106.642342
St. Anne's Chapel,,52.100754,-106.608862
St. Francis Catholic Church,,52.103696,-106.665806
St. Francis Xavier Catholic Parish,,52.103983,-106.665282
St. John Bosco Church,,52.112668,-106.692324
St. John's Cathedral,,52.129566,-106.655052
St. Joseph Parish Hall,,52.115333,-106.657009
St. Mary's Church,,52.12649,-106.692454
St. Patrick Park,,52.117009,-106.614726
St. Paul's,,52.127517,-106.658205
St. Philip Church,,52.107003,-106.64154
St. Thomas More College North Entrance,,52.129841,-106.636588
St. Thomas More Jesus,,52.129141,-106.636255
St. Thomas Wesley Church,,52.126333,-106.681642
St. Volodymyr Chapel,,52.10308,-106.606489
St. Volodymyr Villa,,52.10441,-106.605764
Star Phoenix Drive in Theatre Mural,,52.114627,-106.635159
Start The Show Mural,,52.117992,-106.65569
Station Main Canada Post Office,,52.131785,-106.658858
Steam Shipping Heritage Site,,52.11995,-106.665532
Steve Patola Park,,52.125951,-106.688021
STF Mosaic,,52.101075,-106.609393
Stop The Silence,,52.126224,-106.675922
Sturdy Stone Building Mural,,52.128779,-106.660367
Sturdy-Stone Centre,,52.129082,-106.661678
Sun Skull Punisher,,52.132901,-106.637444
Superstore Art Mural,,52.115421,-106.614444
Sutherland Evangelical Church,,52.131951,-106.601547
Sutherland Park West,,52.141885,-106.601889
Swick Park,,52.090766,-106.566
Swick Park South,,52.089678,-106.56322
Syncrotron Art Box,,52.128745,-106.638856
T-Rex,,52.131541,-106.634386
TCU Place,,52.128974,-106.667881
The American White Pelican Meewasin Sign,,52.140577,-106.63923
The Avenue Building,,52.126411,-106.662971
The Canada Building,,52.126276,-106.665833
The Caravan,,52.124185,-106.666273
The Columbarium,,52.129823,-106.655212
The Dome,,52.137969,-106.668119
The Eagle has Landed,,52.202347,-106.646944
The Galleria,,52.140535,-106.627642
The Gallery At FMCL,,52.129729,-106.660724
The Gift,,52.193115,-106.619823
The Living Skies of Saskatoon,,52.169836,-106.692363
The Prairie Garden,,52.132711,-106.630986
The Redeemed Christian Church of God,,52.119715,-106.659235
The Wakeling Garden,,52.132118,-106.63874
The Winds of Change Are Upon Us,,52.131314,-106.659959
The Woods Alehouse Mural,,52.129732,-106.663111
The Worm.,,52.14306,-106.65357
Third Ave United Church,,52.131697,-106.66015
Thirsty Scholar,,52.115803,-106.627209
Thornton Metal Flower,,52.104923,-106.668577
Thornton Park South,,52.104553,-106.667906
Three Piece Mural,,52.129031,-106.66327
Toon Town Tavern,,52.127785,-106.724869
Traditions - Electric Box,,52.133,-106.659721
Tree of Knowledge,,52.114024,-106.60658
Trefoil Trails Guide Camp,,51.909138,-106.821064
Tribal Sun Box,,52.11993,-106.657063
U of S Atlas East,,52.134142,-106.625474
U of S Huskies Mural,,52.128069,-106.629415
Ufondue,,52.114906,-106.655703
Ukrainian Cross ,,52.152408,-106.650345
Ukrainian Museum of Canada,,52.130719,-106.653238
Uncaged Birds,,52.129518,-106.664014
Underbridge Tenticles,,52.121072,-106.658263
Undulating Wings,,52.134714,-106.669604
University Of Saskatchewan Campus Directory North,,52.139005,-106.624816
University of Saskatchewan Huskie,,52.127829,-106.631067
University of Saskatchewan Map,,52.129516,-106.628253
"USask 50 Years Agricultural Service Recognition, 1959",,52.131664,-106.632189
Usask WW1 Memorial Gates,,52.129343,-106.642916
USask WWII Memorial ,,52.129717,-106.63521
Vaccine And Infectious Disease Organization,,52.137007,-106.626363
Venerable Martyrs,,52.12708,-106.688674
Veterans Centre,,52.133268,-106.663783
Victoria Avenue Tennis Courts,,52.120638,-106.662066
Vincent Massey Award,,52.127055,-106.66742
Water Colors,,52.13116,-106.660599
Water Wheel House Sculpture,,52.114117,-106.611125
Waves Skull.,,52.143404,-106.653138
Weaver Park,,52.100392,-106.658332
Weaver Park Playground,,52.102039,-106.658823
Western Peace Wall,,52.119681,-106.656486
Western Tract mission,,52.143746,-106.675249
Western Wheeled Scraper,,52.096969,-106.673039
Westmount Nw Entrance,,52.133253,-106.687172
Wet Paint Pottery,,52.137568,-106.661007
What's Up with your Face?,,52.127076,-106.673749
White Buffalo Mural,,52.126472,-106.679203
Wide Open Spaces,,52.126896,-106.680925
Wiggins Park,,52.108836,-106.637095
Wiggins Park North West Entrance ,,52.110095,-106.638126
Wild Horses,,52.127947,-106.683316
Wildwood Mennonite Church ,,52.107404,-106.599203
Wildwood Park East,,52.10828,-106.591101
Wildwood Park South,,52.106846,-106.596109
William a Reid Park,,52.120338,-106.72162
William A. Reid Park Playground,,52.117916,-106.721316
Wilson Park,,52.14098,-106.646993
WW Ashley Park,,52.107456,-106.64885
WWI Memorial Statue,,52.132397,-106.652259
Y Sculpture,,52.129096,-106.668351
Yellow Flower Box,,52.107246,-106.646347
Youth Gate,,52.129631,-106.658918
Zero emission Bus Mural,,52.118586,-106.657695
Zion Evangelical Lutheran Church,,52.124175,-106.662547
Avro Anson Propeller,,52.170092,-106.690685
Lakewood Park West,,52.109097,-106.584149
Two pelicans and four bridges mural,,52.120164,-106.861737
Dragon's Den Games,,52.115939,-106.631121
Ed Jordan Park Playground,,52.133382,-106.755731
Lakeview Park East,,52.094874,-106.593732
Enjoy Mural,,52.087379,-106.625572
Community Library On Simon Fraser Crescent,,52.125845,-106.590578
WWII Memorial Fountain,,52.127033,-106.657202
North Park,,52.146901,-106.651727
VetMed Skeleton Gallery,,52.133924,-106.630321
Heritage Green,,52.104269,-106.576106
Lakewood Park South,,52.104907,-106.578362
McClure United Church,,52.101941,-106.587976
Heritage Park North,,52.104521,-106.578026
Lakeview Pond South Entrance,,52.096655,-106.596018
Lakeview Tennis Courts,,52.096181,-105.593513
Lakeview Tennis Courts,,52.096181,-106.593513
Two pelicans and four bridges mural,,52.120164,-106.681737
Captain E.S. Andrews Emergency Launch,,52.122926,-106.661225
The Hutchinson Building,,52.127867,-106.664048
Sitter School of Dance,,52.166553,-106.62618
Round Prarie Library,,52.085285,-106.621129
Edward McCourt Park Baseball Daimond,,52.11634,-106.564429
Peter Zakreski Park Diamond 2,,52.085658,-106.636397
Redeemed Christian Church of God - Lighthouse Parish,,52.128872,-106.594064
Farmers Market Banner,,52.124283,-106.67175
Launch Time Statue,,52.122473,-106.664696
Gentle Rain,,52.096368,-106.567558
Hyde Park,,52.100345,-106.555224
Meewasin Trail Marker,,52.153668,-106.632683
